id,device_id,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,created_at
2655,hikon_s3_v1_accel_001,0.195801,-0.94043,-0.219238,0.985298,2.98473,23.542,38.0992,2026-04-04 10:27:30.278858+00
2656,hikon_s3_v1_accel_001,-0.025635,-0.875244,-0.368896,0.950155,0.587786,2.9313,-1.93893,2026-04-04 10:27:39.709351+00
2657,hikon_s3_v1_accel_001,-0.018555,-0.769531,-0.529297,0.934172,2.06107,-4.37405,0.030534,2026-04-04 10:29:30.832228+00
2658,hikon_s3_v1_accel_001,0.03418,-0.786133,-0.513916,0.939831,-2.03817,7.27481,-3.24428,2026-04-04 10:29:40.617398+00
2659,hikon_s3_v1_accel_001,0.022217,-0.742432,-0.546143,0.921938,1.30534,-5.03053,0.038168,2026-04-04 10:30:01.458027+00
2660,hikon_s3_v1_accel_001,-0.074707,-0.745361,-0.519043,0.911345,0.129771,3.29008,-3.12214,2026-04-04 10:30:11.327414+00
2661,hikon_s3_v1_accel_001,-0.019043,-0.800293,-0.501953,0.944875,5.03817,-1.18321,-1.03053,2026-04-04 10:30:44.657103+00
2662,hikon_s3_v1_accel_001,-0.05957,-1.01196,-0.217285,1.03674,5.25954,3.90076,-1.69466,2026-04-04 10:30:55.240069+00
2663,hikon_s3_v1_accel_001,-0.025391,-0.801514,-0.484619,0.936976,3.28244,-1.09924,-0.549618,2026-04-04 10:31:40.151157+00
2664,hikon_s3_v1_accel_001,-0.028564,-0.81543,-0.455078,0.934258,0.549618,-0.847328,-2.08397,2026-04-04 10:31:49.956239+00
2665,hikon_s3_v1_accel_001,-0.047119,-0.821533,-0.453857,0.939747,1.84733,-0.900763,-1.53435,2026-04-04 10:32:10.89178+00
2666,hikon_s3_v1_accel_001,-0.02832,-0.809814,-0.461914,0.93272,3.16794,-0.664122,0.335878,2026-04-04 10:32:20.964074+00
2667,hikon_s3_v1_accel_001,0.021729,-0.814941,-0.461914,0.936999,0.259542,-0.625954,-5.70992,2026-04-04 10:33:55.7506+00
2668,hikon_s3_v1_accel_001,-0.004639,-0.828613,-0.440918,0.938632,1.56489,-0.557252,-1.90076,2026-04-04 10:34:32.215459+00
2669,hikon_s3_v1_accel_001,0.032471,-0.842041,-0.429688,0.945896,2.53435,-1.68702,0.374046,2026-04-04 10:34:49.501267+00
2670,hikon_s3_v1_accel_001,0.030273,-0.841553,-0.425537,0.943509,2.22901,-0.496183,-1.48855,2026-04-04 10:34:59.948201+00
2671,hikon_s3_v1_accel_001,0.015869,-0.827393,-0.425537,0.930544,1.40458,-1.96183,-0.549618,2026-04-04 10:35:18.673719+00
2672,hikon_s3_v1_accel_001,0.017578,-0.838135,-0.417969,0.936737,3.22137,-0.961832,-1.18321,2026-04-04 10:35:28.459941+00
2673,hikon_s3_v1_accel_001,-0.005615,-0.871582,-0.371582,0.947502,14.5801,-5.94657,1.43511,2026-04-04 10:35:42.844296+00
2674,hikon_s3_v1_accel_001,0.022217,-0.877197,-0.349365,0.944471,4.12214,-0.21374,-0.068702,2026-04-04 10:35:52.588165+00
2675,hikon_s3_v1_accel_001,-0.008789,-0.911133,-0.304688,0.960768,1.06107,0.78626,-1.87786,2026-04-04 10:36:05.02841+00
2676,hikon_s3_v1_accel_001,-0.001221,-0.902344,-0.299805,0.950846,2.29771,-0.885496,-0.030534,2026-04-04 10:36:15.506616+00
2677,hikon_s3_v1_accel_001,0.062012,-0.893066,-0.330811,0.954384,-0.244275,-0.251908,-2.36641,2026-04-04 10:36:34.811085+00
2678,hikon_s3_v1_accel_001,0.013184,-0.863281,-0.330078,0.924327,2.32824,2,2.35878,2026-04-04 10:36:44.732651+00
2679,hikon_s3_v1_accel_001,-0.016602,-0.834961,-0.424316,0.936739,-0.290076,-1.48092,-1.39695,2026-04-04 10:36:54.720052+00
2680,hikon_s3_v1_accel_001,0.030518,-0.849121,-0.405029,0.941269,1.07634,-5.30534,3.87023,2026-04-04 10:37:09.021337+00
2681,hikon_s3_v1_accel_001,-0.003418,-0.834717,-0.394531,0.923265,3.45801,2.67939,3.87023,2026-04-04 10:37:19.816953+00
2682,hikon_s3_v1_accel_001,-0.04126,-0.877441,-0.361328,0.949823,3.54199,1.64122,-3.12214,2026-04-04 10:37:34.765387+00
2683,hikon_s3_v1_accel_001,-0.016602,-0.87915,-0.340088,0.942784,1.71756,0.503817,-4.90076,2026-04-04 10:37:44.209309+00
2684,hikon_s3_v1_accel_001,-0.055176,-0.868408,-0.381104,0.949956,3.35878,0.305344,-0.458015,2026-04-04 10:37:54.230175+00
2685,hikon_s3_v1_accel_001,0.000244,-0.827637,-0.410889,0.92402,2.03053,-6.56489,-0.877863,2026-04-04 10:38:04.28268+00
2686,hikon_s3_v1_accel_001,-0.091797,-0.888672,-0.331055,0.952765,6.07634,-1.35115,-2.03053,2026-04-04 10:38:14.277602+00
2687,hikon_s3_v1_accel_001,0.001953,-0.889893,-0.333496,0.950333,-2.81679,0.282443,-0.641221,2026-04-04 10:38:24.312069+00
2688,hikon_s3_v1_accel_001,-0.029785,-0.909912,-0.276367,0.951423,4.35114,-2.55725,0.335878,2026-04-04 10:38:34.333083+00
2689,hikon_s3_v1_accel_001,-0.051758,-0.935303,-0.214355,0.960947,5.30534,-1,-1.9084,2026-04-04 10:38:44.425897+00
2690,hikon_s3_v1_accel_001,-0.605713,0.213379,-0.575928,0.862619,6.1145,21.9466,36.0458,2026-04-04 10:39:52.627958+00
2691,hikon_s3_v1_accel_001,0.045898,-0.962891,-0.188965,0.98233,5.87786,28.0763,34.7863,2026-04-04 10:41:24.899334+00
2692,hikon_s3_v1_accel_001,0.075195,-0.960693,-0.147217,0.974812,2.67939,-1.0458,-1.22137,2026-04-04 10:41:34.922644+00
2693,hikon_s3_v1_accel_001,0.083984,-0.986084,-0.102539,0.994952,3.57252,-0.045802,-1.15267,2026-04-04 10:41:45.670655+00
2694,hikon_s3_v1_accel_001,0.091797,-0.994629,-0.044434,0.999844,1.50382,0.427481,-0.748092,2026-04-04 10:41:54.923119+00
2695,hikon_s3_v1_accel_001,0.131592,-0.980957,-0.080566,0.993018,3.00763,-1.17557,1.80916,2026-04-04 10:42:04.808575+00
2696,hikon_s3_v1_accel_001,0.047852,-0.834229,-0.395264,0.92437,-4.90076,-1.48092,-3.92366,2026-04-04 10:43:25.270186+00
2697,hikon_s3_v1_accel_001,0.003662,-0.875977,-0.369141,0.950586,2.74046,-0.160305,-0.259542,2026-04-04 10:43:35.353835+00
2698,hikon_s3_v1_accel_001,0.040283,-0.864746,-0.365479,0.939672,0.503817,-0.137405,-2.98473,2026-04-04 10:43:45.219464+00
2699,hikon_s3_v1_accel_001,0.072021,-0.839844,-0.432373,0.947349,-3.24428,-2.41985,0.946565,2026-04-04 10:43:55.723943+00
2700,hikon_s3_v1_accel_001,-0.105469,-0.753174,-0.467773,0.892864,-1.34351,-4.12977,-0.496183,2026-04-04 10:44:06.41763+00
2701,hikon_s3_v1_accel_001,0.058838,-0.861572,-0.385742,0.945815,9.39695,9.12977,-3.44275,2026-04-04 10:56:01.790105+00
2702,hikon_s3_v1_accel_001,0.032959,-0.85498,-0.375244,0.934284,2.1145,-0.458015,-1.45038,2026-04-04 10:56:11.070635+00
2703,hikon_s3_v1_accel_001,0.023193,-0.854736,-0.398193,0.943223,3.00763,-0.183206,-0.839695,2026-04-04 10:56:21.08825+00
2704,hikon_s3_v1_accel_001,0.024414,-0.843018,-0.393311,0.930574,5.22137,0.580153,-0.519084,2026-04-04 10:56:31.604219+00
2705,hikon_s3_v1_accel_001,0.028076,-0.838867,-0.426758,0.941599,3.0687,1.05343,-1.12214,2026-04-04 10:56:41.792926+00
2706,hikon_s3_v1_accel_001,0.044678,-0.837891,-0.415283,0.936225,1.67939,-5.12214,2.70229,2026-04-04 10:57:01.91371+00
2707,hikon_s3_v1_accel_001,0.022705,-0.829834,-0.376709,0.911619,0.740458,-0.091603,0.664122,2026-04-04 10:57:12.184379+00
2708,hikon_s3_v1_accel_001,0.075684,-0.727295,-0.554443,0.917656,1.36641,-12.4351,4.26718,2026-04-04 10:57:22.151276+00
2709,hikon_s3_v1_accel_001,0.049805,-0.790527,-0.470947,0.921523,-0.083969,-3.69466,-3.81679,2026-04-04 10:57:32.078562+00
2710,hikon_s3_v1_accel_001,0.051025,-0.865234,-0.403076,0.955879,4.51908,-3.91603,-1.94657,2026-04-04 10:57:42.089733+00
2711,hikon_s3_v1_accel_001,0.044678,-0.874756,-0.350342,0.943363,3.85496,-0.618321,-0.496183,2026-04-04 10:57:59.873724+00
2712,hikon_s3_v1_accel_001,0.029785,-0.862305,-0.368896,0.938372,1.52672,-0.312977,-0.633588,2026-04-04 10:58:09.880729+00
2713,hikon_s3_v1_accel_001,-0.01001,-0.864014,-0.395264,0.950186,1.96183,-2.23664,-0.572519,2026-04-04 10:58:20.781681+00
2714,hikon_s3_v1_accel_001,0.02417,-0.838867,-0.458252,0.956178,5.54199,-3.89313,1.07634,2026-04-04 10:58:30.134303+00
2715,hikon_s3_v1_accel_001,0.103271,-0.817139,-0.453369,0.940172,1.53435,-1.48855,0.885496,2026-04-04 10:58:40.070612+00
2716,hikon_s3_v1_accel_001,0.015625,-0.828369,-0.51001,0.972908,6.8626,4.46565,1.14504,2026-04-04 10:58:50.851037+00
2717,hikon_s3_v1_accel_001,0.019043,-0.786133,-0.473633,0.917984,1.41221,3.63359,0.419847,2026-04-04 10:59:00.181032+00
2718,hikon_s3_v1_accel_001,0.001465,-0.808838,-0.494385,0.947965,2.01527,3.43512,3.43512,2026-04-04 10:59:10.163336+00
2719,hikon_s3_v1_accel_001,0.057861,-0.863525,-0.412598,0.958781,3.9313,0.961832,-6.36641,2026-04-04 10:59:19.932055+00
2720,hikon_s3_v1_accel_001,-0.004883,-0.955078,-0.21167,0.978265,7.38168,3.39695,-11,2026-04-04 10:59:29.995094+00
2721,hikon_s3_v1_accel_001,0.159668,-0.964355,-0.142822,0.987863,2.64885,3.17557,0.633588,2026-04-04 10:59:40.611638+00
2722,hikon_s3_v1_accel_001,0.151367,-0.962402,-0.122803,0.981942,1.14504,0.793893,1.0687,2026-04-04 10:59:49.933705+00
2723,hikon_s3_v1_accel_001,0.123291,-0.989258,-0.105225,1.00245,2.91603,-1.00763,-1.19847,2026-04-04 11:00:00.176548+00
2724,hikon_s3_v1_accel_001,-0.00708,-0.965332,-0.172363,0.980625,1.09924,-0.022901,1.05343,2026-04-04 11:00:10.285908+00
2725,hikon_s3_v1_accel_001,0.051514,-0.965088,-0.169189,0.981159,2.22901,-1.17557,-0.19084,2026-04-04 11:00:20.635988+00
2726,hikon_s3_v1_accel_001,0.063965,-0.954346,-0.201416,0.977464,2.40458,-1.21374,-0.854962,2026-04-04 11:00:30.393565+00
2727,hikon_s3_v1_accel_001,0.157715,-0.949951,-0.165283,0.977036,0.847328,-1.72519,-0.961832,2026-04-04 11:00:40.416575+00
2728,hikon_s3_v1_accel_001,0.191895,-0.960693,-0.155273,0.9919,3.15267,-0.312977,-3.03053,2026-04-04 11:00:50.905586+00
2729,hikon_s3_v1_accel_001,0.159668,-0.934814,-0.19043,0.967282,-0.091603,-2.46565,2.54199,2026-04-04 11:01:08.368217+00
2730,hikon_s3_v1_accel_001,0.101563,-0.94043,-0.232422,0.974034,2.0458,-0.923664,-1.54199,2026-04-04 11:01:18.889068+00
2731,hikon_s3_v1_accel_001,-0.312744,-0.954102,-0.028564,1.00446,35.5038,-3.70992,-0.70229,2026-04-04 11:01:28.710719+00
2732,hikon_s3_v1_accel_001,0.006348,-1.01367,0.107666,1.01939,-1.38931,-2.41985,-1.16794,2026-04-04 11:01:38.892788+00
2733,hikon_s3_v1_accel_001,-0.008301,-1.021,0.251953,1.05166,-10.5878,-1.13741,2.73282,2026-04-04 11:01:48.610906+00
2734,hikon_s3_v1_accel_001,0.022949,-1.02002,0.194824,1.03871,1.60305,-1.69466,-2.73282,2026-04-04 11:02:01.19049+00
2735,hikon_s3_v1_accel_001,0.003906,-1.00317,0.201904,1.0233,1.83206,-3.38931,1.80153,2026-04-04 11:02:11.089558+00
2736,hikon_s3_v1_accel_001,0.084229,-0.977783,0.171387,0.996257,-0.946565,-0.343511,0.145038,2026-04-04 11:02:21.420158+00
2737,hikon_s3_v1_accel_001,0.018066,-1.00513,0.085938,1.00896,0.305344,-1.19847,-7.71756,2026-04-04 11:02:31.211401+00
2738,hikon_s3_v1_accel_001,0.050537,-0.988281,-0.061279,0.991468,10.3511,8.82443,5.72519,2026-04-04 11:04:32.95474+00
2739,hikon_s3_v1_accel_001,0.205566,-0.980469,0.161133,1.01466,5.25191,28.687,-3.96947,2026-04-04 11:04:43.069226+00
2740,hikon_s3_v1_accel_001,0.218994,-0.993652,0.262939,1.05092,15.6107,20.7099,-11.1298,2026-04-04 11:04:53.332768+00
2741,hikon_s3_v1_accel_001,0.133789,-1.02661,0.172119,1.0495,-1.63359,-1.25954,-6.9542,2026-04-04 11:05:02.656413+00
2742,hikon_s3_v1_accel_001,0.029297,-0.984863,0.197266,1.00485,-1.94657,-14.9618,9,2026-04-04 11:05:12.572999+00
2743,hikon_s3_v1_accel_001,-0.040527,-0.982178,0.208252,1.00483,3.35115,-4.00763,0.824427,2026-04-04 11:05:22.947407+00
2744,hikon_s3_v1_accel_001,0.171875,-0.994141,0.207764,1.03006,2.77863,12.7557,3.16794,2026-04-04 11:05:53.76312+00
2745,hikon_s3_v1_accel_001,0.11377,-1.01929,0.208496,1.04659,6.0229,0.465649,-0.099237,2026-04-04 11:06:04.383361+00
2746,hikon_s3_v1_accel_001,0.074463,-1.01245,0.195313,1.0338,2.9313,0.389313,-2.05344,2026-04-04 11:06:14.129561+00
2747,hikon_s3_v1_accel_001,0.139648,-1.01025,0.204346,1.04013,3.39695,-0.671756,-1.58779,2026-04-04 11:06:23.7605+00
2748,hikon_s3_v1_accel_001,0.14209,-1.01953,0.117432,1.03606,2.83206,0.160305,-1.9313,2026-04-04 11:06:35.315007+00
2749,hikon_s3_v1_accel_001,0.203613,-0.988525,0.038574,1.01001,7.51145,7.81679,-1.47328,2026-04-04 11:06:55.230059+00
2750,hikon_s3_v1_accel_001,0.171631,-1.00708,0.16748,1.03524,0.099237,-4.06107,-2.47328,2026-04-04 11:07:05.188549+00
2751,hikon_s3_v1_accel_001,0.082764,-1.01001,0.112549,1.01963,2.50382,0.091603,-1.26718,2026-04-04 11:07:15.540514+00
2752,hikon_s3_v1_accel_001,0.119141,-1.00684,0.072754,1.01647,-1.56489,-4.15267,-0.320611,2026-04-04 11:07:25.326862+00
2753,hikon_s3_v1_accel_001,0.016113,-0.991455,-0.083984,0.995136,1.31298,-4.39695,0.534351,2026-04-04 11:07:35.430643+00
2754,hikon_s3_v1_accel_001,-0.028076,-0.991211,-0.050781,0.992908,2.01527,0.137405,-0.122137,2026-04-04 11:07:56.94414+00
2755,hikon_s3_v1_accel_001,0.14502,-0.955811,-0.217773,0.990974,4.0458,-1.21374,0.89313,2026-04-04 11:08:06.766169+00
2756,hikon_s3_v1_accel_001,0.071777,-0.968506,-0.248047,1.00234,-6.51908,-8.89313,-1.55725,2026-04-04 11:08:16.895484+00
2757,hikon_s3_v1_accel_001,-0.046875,-0.944092,0.400635,1.02665,-5.34351,5.83969,2.70229,2026-04-04 11:08:26.857864+00
2758,hikon_s3_v1_accel_001,-0.090576,-0.947021,0.436035,1.04651,-1.64885,-3.70229,-1.55725,2026-04-04 11:08:37.05225+00
2759,hikon_s3_v1_accel_001,-0.212646,-0.848145,0.589111,1.05433,0.78626,-0.328244,-1.96183,2026-04-04 11:08:56.758773+00
2760,hikon_s3_v1_accel_001,-0.310547,-0.898682,0.422363,1.04041,2.61832,1.31298,-4.14504,2026-04-04 11:09:07.067077+00
2761,hikon_s3_v1_accel_001,-0.215088,-0.864502,0.643311,1.09885,5.73282,-5.48855,-3.1145,2026-04-04 11:09:16.903027+00
2762,hikon_s3_v1_accel_001,-0.303711,-0.800293,0.684814,1.09621,0.969466,-2.26718,-0.427481,2026-04-04 11:09:26.965766+00
2763,hikon_s3_v1_accel_001,-0.23999,-0.674072,0.577637,0.919583,-22.1908,32.2901,84.1298,2026-04-04 11:09:36.925136+00
2764,hikon_s3_v1_accel_001,-0.055908,-0.903809,-0.277344,0.947056,-3.79389,-2.41221,-6.1145,2026-04-04 11:09:55.390513+00
2765,hikon_s3_v1_accel_001,-0.008545,-0.818115,-0.364746,0.895782,8.39695,-3.70992,0.78626,2026-04-04 11:10:05.313493+00
2766,hikon_s3_v1_accel_001,0.083008,-0.877441,-0.351807,0.948979,2.41985,0.458015,-2.59542,2026-04-04 11:10:15.166929+00
2767,hikon_s3_v1_accel_001,0.006592,-0.858643,-0.391113,0.943547,1.90076,0.427481,-1.59542,2026-04-04 11:10:25.918016+00
2768,hikon_s3_v1_accel_001,-0.008545,-0.835449,-0.438965,0.943789,-0.21374,-0.061069,1.83969,2026-04-04 11:10:35.461731+00
2769,hikon_s3_v1_accel_001,0.034424,-0.923584,-0.279541,0.965575,3.62595,3.80153,-2.61069,2026-04-04 11:10:58.814099+00
2770,hikon_s3_v1_accel_001,0.021729,-0.908936,-0.300049,0.957426,2.63359,10.4122,-12.7481,2026-04-04 11:11:09.266229+00
2771,hikon_s3_v1_accel_001,-0.056396,-0.941895,-0.2146,0.967677,5.73282,2.12214,-1.96947,2026-04-04 11:11:19.019228+00
2772,hikon_s3_v1_accel_001,0.042236,-0.903809,-0.306641,0.955344,4.85496,4.09924,-7.53435,2026-04-04 11:11:29.132198+00
2773,hikon_s3_v1_accel_001,0.008301,-0.878418,-0.344727,0.943676,5.76336,-17.5649,2.32824,2026-04-04 11:11:38.64129+00
2774,hikon_s3_v1_accel_001,-0.068848,-0.883301,-0.365723,0.958495,-5.51908,5.94657,-5.16031,2026-04-04 11:11:58.060128+00
2775,hikon_s3_v1_accel_001,-0.032471,-0.832764,-0.393311,0.921544,-1.83206,7.0916,4.50382,2026-04-04 11:12:09.101333+00
2776,hikon_s3_v1_accel_001,-0.0979,-0.820557,-0.400879,0.918478,1.38931,-1.83206,-0.10687,2026-04-04 11:12:18.2881+00
2777,hikon_s3_v1_accel_001,-0.118408,-0.826416,-0.400879,0.926114,6.24428,1.73282,-2.91603,2026-04-04 11:12:28.453058+00
2778,hikon_s3_v1_accel_001,-0.0896,-0.827881,-0.374268,0.912957,4.28244,-2.40458,-5.48855,2026-04-04 11:12:39.73443+00
2779,hikon_s3_v1_accel_001,-0.032471,-0.894043,-0.33374,0.954856,3.12977,0.267176,-1.28244,2026-04-04 11:12:56.578059+00
2780,hikon_s3_v1_accel_001,-0.104248,-0.832764,-0.387695,0.924484,2.60305,0.21374,-4.30534,2026-04-04 11:13:07.195709+00
2781,hikon_s3_v1_accel_001,-0.143311,-0.84668,-0.374512,0.936837,5.80153,-1.50382,7.01527,2026-04-04 11:13:16.67116+00
2782,hikon_s3_v1_accel_001,0.26709,-0.918701,-0.229248,0.983821,0.603053,-6.90076,0.068702,2026-04-04 11:13:26.523884+00
2783,hikon_s3_v1_accel_001,0.32666,-0.923828,-0.154785,0.99203,3.62595,1.51908,-4.77099,2026-04-04 11:13:36.710247+00
2784,hikon_s3_v1_accel_001,0.226563,-0.962646,-0.13623,0.998287,2.26718,-0.900763,0.122137,2026-04-04 11:13:56.283076+00
2785,hikon_s3_v1_accel_001,0.243896,-0.957275,-0.159424,1.00064,-1.09924,0.793893,3.0229,2026-04-04 11:14:05.619033+00
2786,hikon_s3_v1_accel_001,0.127197,-0.859131,-0.268066,0.908925,-1.54199,4.0458,-0.870229,2026-04-04 11:14:15.353515+00
2787,hikon_s3_v1_accel_001,0.233154,-0.919922,-0.241943,0.979364,3.76336,3.00763,-5.71756,2026-04-04 11:14:25.753112+00
2788,hikon_s3_v1_accel_001,0.173096,-0.854492,-0.304199,0.923394,-9.36641,-23.0916,2.25954,2026-04-04 11:14:35.314425+00
2789,hikon_s3_v1_accel_001,0.13623,-0.825684,-0.436768,0.943969,-3.83206,-6.30534,5.61069,2026-04-04 11:14:54.157749+00
2790,hikon_s3_v1_accel_001,0.119873,-0.891846,-0.273193,0.940422,36.084,19.2748,-12.7939,2026-04-04 11:15:04.40039+00
2791,hikon_s3_v1_accel_001,0.184082,-0.859619,-0.403076,0.96711,2.39695,-0.465649,2.41985,2026-04-04 11:15:14.372092+00
2792,hikon_s3_v1_accel_001,0.150146,-0.792236,-0.380615,0.891656,5.9542,1.71756,-0.099237,2026-04-04 11:15:24.323936+00
2793,hikon_s3_v1_accel_001,0.319336,-0.877441,-0.298584,0.980322,2.63359,4.41985,-5.19084,2026-04-04 11:15:34.528537+00
2794,hikon_s3_v1_accel_001,0.134277,-0.900879,-0.290039,0.955895,1.47328,-5.25954,-4.69466,2026-04-04 11:15:55.961744+00
2795,hikon_s3_v1_accel_001,0.289551,-0.827148,-0.350098,0.943707,-0.435115,0.435115,-4.05343,2026-04-04 11:16:06.440647+00
2796,hikon_s3_v1_accel_001,0.258789,-0.775879,-0.381836,0.90264,-0.480916,5.74046,-7.05343,2026-04-04 11:16:15.637936+00
2797,hikon_s3_v1_accel_001,-0.739014,0.122803,-0.452881,0.875399,-38.2366,-5.27481,98.9771,2026-04-04 11:16:26.124617+00
